Ports,Region,Cntr Cycle Name,Cntr No,Cntr Size,cntr_trxn_id,Dpd Dpe,In Time,Is Empty,Max,orgname,Out Time,Transportmode
APSEZ,Western,EXPORT,PONU0054002,20,,,29/7/2020 17:36,,26193645,Mundra International Container Terminal (MICT),10/8/2020 12:53,RAIL
"KDS, Kolkata",Eastern,EXPORT,TGHU3542743,20,,,12/8/2020 01:03,,26204043,"Kolkata Dock System (KDS) , Kolkata Port",21/8/2020 21:09,TRUCK
JNPT,Western,EXPORT,FSCU7839583,20,,Y,31/7/2020 01:01,,26230043,Nhava Sheva India Gateway Terminal (NSIGT),2/8/2020 16:59,TRUCK
JNPT,Western,EXPORT,HJCU8261533,20,,Y,31/7/2020 01:34,,26232197,Nhava Sheva India Gateway Terminal (NSIGT),2/8/2020 15:40,TRUCK
"VCT, Visakhapatnam",Eastern,IMPORT,TCKU3428333,20,,N,26/7/2020 20:24,N,26232548,Visakha Container Terminal,30/7/2020 06:28,TRUCK
APSEZ,Western,EXPORT,TCLU5653412,40,,,4/8/2020 00:04,,26273402,Mundra International Container Terminal (MICT),10/8/2020 16:01,RAIL
JNPT,Western,EXPORT,TGHU9092520,40,,N,23/7/2020 22:17,,26333175,Gateway Terminals India (GTI),28/7/2020 15:25,TRUCK
APSEZ,Western,EXPORT,SUDU8995235,40,,,27/7/2020 10:13,,26370616,Mundra International Container Terminal (MICT),9/8/2020 21:52,TRUCK
Kattupalli Port,Southern,EXPORT,TLLU5825649,40,,N,20/8/2020 18:16,,26376758,Kattupalli International Container Terminal (KICT),25/8/2020 08:55,TRUCK
Haldia,Eastern,EXPORT,MRSU0122601,20,,N,13/7/2020 19:15,,26376955,Haldia International Container Terminal (HICT),27/7/2020 00:00,RAIL
JNPT,Western,IMPORT,IAAU2686580,20,,N,14/8/2020 21:47,,26408778,Gateway Terminals India (GTI),16/8/2020 14:01,TRUCK
"KDS, Kolkata",Eastern,EXPORT,XINU1353955,20,,,12/8/2020 13:57,,26427480,"Kolkata Dock System (KDS) , Kolkata Port",22/8/2020 01:55,TRUCK
APSEZ,Western,EXPORT,TCKU3672329,20,,,13/8/2020 22:32,,26437310,Adani CMA Mundra Terminal (ACMTPL),19/8/2020 00:20,RAIL
JNPT,Western,EXPORT,KKFU7436015,40,,N,29/7/2020 15:26,,26473361,Bharat Mumbai Container Terminals(PSA),31/7/2020 15:45,TRUCK
APSEZ,Western,EXPORT,CRSU1257113,20,,,27/7/2020 22:57,,26478201,Mundra International Container Terminal (MICT),31/7/2020 12:07,TRUCK
APSEZ,Western,EXPORT,CRSU1376391,20,,,11/8/2020 05:43,,26483755,Mundra International Container Terminal (MICT),13/8/2020 00:17,TRUCK
